tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
36,5918n	842,012m	36,5918n	1	
36,7537n	1,27986	36,7537n	1	
36,9156n	943,054m	36,9156n	1	
37,0775n	1,14514	37,0775n	1	
37,2394n	909,373m	37,2394n	1	
37,4013n	1,31354	37,4013n	1	
37,5632n	875,693m	37,5632n	1	
37,7252n	1,11146	37,7252n	1	
37,8871n	1,07778	37,8871n	1	
38,049n	909,373m	38,049n	1	
38,2109n	1,11146	38,2109n	1	
38,3728n	1,0441	38,3728n	1	
38,5347n	1,48194	38,5347n	1	
38,6966n	1,34722	38,6966n	1	
38,8585n	1,27986	38,8585n	1	
39,0204n	875,693m	39,0204n	1	
39,1824n	1,07778	39,1824n	1	
39,3443n	1,0441	39,3443n	1	
39,5062n	976,734m	39,5062n	1	
39,6681n	1,14514	39,6681n	1	
39,83n	943,054m	39,83n	1	
39,9919n	943,054m	39,9919n	1	
40,1538n	1,24618	40,1538n	1	
40,3157n	1,01041	40,3157n	1	
40,4776n	1,01041	40,4776n	1	
40,6395n	1,0441	40,6395n	1	
40,8015n	909,373m	40,8015n	1	
40,9634n	976,734m	40,9634n	1	
41,1253n	1,0441	41,1253n	1	
41,2872n	875,693m	41,2872n	1	
41,4491n	875,693m	41,4491n	1	
41,611n	1,51562	41,611n	1	
41,7729n	707,29m	41,7729n	1	
41,9348n	909,373m	41,9348n	1	
42,0967n	1,01041	42,0967n	1	
42,2587n	740,971m	42,2587n	1	
42,4206n	1,0441	42,4206n	1	
42,5825n	842,012m	42,5825n	1	
42,7444n	1,14514	42,7444n	1	
42,9063n	1,11146	42,9063n	1	
43,0682n	1,0441	43,0682n	1	
43,2301n	1,17882	43,2301n	1	
43,392n	909,373m	43,392n	1	
43,5539n	1,14514	43,5539n	1	
43,7158n	1,34722	43,7158n	1	
43,8778n	1,14514	43,8778n	1	
44,0397n	976,734m	44,0397n	1	
44,2016n	1,07778	44,2016n	1	
